[0]                            Vertices:   ID | Target Rank | Position  | Neighbor Edges
[0]                                       149 |           0 |         32 |         33 |                    0 | 199 219
[0]                                       150 |           0 |         33 |         34 |                    0 | 182 220
[0]                                       151 |           0 |         33 |         35 |                    0 | 200 220
[0]                                       152 |           0 |         34 |         35 |                    0 | 212 220
[0]                                       153 |           0 |         36 |         37 |                    0 | 196 221
[0]                                       154 |           0 |         36 |         38 |                    0 | 185 221
[0]                                       155 |           0 |         37 |         38 |                    0 | 201 221
[0]                                       156 |           0 |         38 |         39 |                    0 | 202 222
[0]                                       157 |           0 |         38 |         40 |                    0 | 186 222
[0]                                       158 |           0 |         39 |         40 |                    0 | 211 222
[0]                                       159 |           0 |         41 |         42 |                    0 | 205 223
[0]                                       160 |           0 |         41 |         43 |                    0 | 210 223
[0]                                       161 |           0 |         42 |         43 |                    0 | 187 223
[0]                                       162 |           0 |         42 |         44 |                    0 | 188 224
[0]                                       163 |           0 |         42 |         45 |                    0 | 206 224
[0]                                       164 |           0 |         44 |         45 |                    0 | 214 224
[0]                                       165 |           0 |         46 |         47 |                    0 | 193 225
[0]                                       166 |           0 |         46 |         48 |                    0 | 209 225
[0]                                       167 |           0 |         47 |         48 |                    0 | 207 225
[0]                                       168 |           0 |         47 |         49 |                    0 | 194 226
[0]                                       169 |           0 |         47 |         50 |                    0 | 208 226
[0]                                       170 |           0 |         49 |         50 |                    0 | 213 226
[0]
[0]                            Faces:      ID | Target Rank | EdgeID_0 | EdgeID_1 | EdgeID_2
[0]                            -------------------------------------------------------------
[0]                                       171 |           0 |       51 |       52 |      135
[0]                                       172 |           0 |       53 |       54 |       95
[0]                                       173 |           0 |       55 |       56 |      138
[0]                                       174 |           0 |       57 |       58 |      120
[0]                                       175 |           0 |       59 |       60 |      141
[0]                                       176 |           0 |       61 |       62 |      146
[0]                                       177 |           0 |       63 |       64 |      125
[0]                                       178 |           0 |       65 |       66 |      137
[0]                                       179 |           0 |       67 |       68 |      143
[0]                                       180 |           0 |       69 |       70 |      136
[0]                                       181 |           0 |       71 |       72 |      148
